"Step","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-rms/mlp","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-rms/mlp__MIN","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-rms/mlp__MAX","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp__MIN","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp__MAX","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp__MIN","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-rms/mlp__MAX"
"1","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726","0.0819527730345726"
"4","","","","","","","0.0823407843708992","0.0823407843708992","0.0823407843708992"
"5","0.105316162109375","0.105316162109375","0.105316162109375","0.0819222554564476","0.0819222554564476","0.0819222554564476","0.0846034437417984","0.0846034437417984","0.0846034437417984"
"6","0.105316162109375","0.105316162109375","0.105316162109375","0.0819309800863266","0.0819309800863266","0.0819309800863266","0.0869838148355484","0.0869838148355484","0.0869838148355484"
"10","0.1053074449300766","0.1053074449300766","0.1053074449300766","0.0819222554564476","0.0819222554564476","0.0819222554564476","0.1264168918132782","0.1264168918132782","0.1264168918132782"
"12","0.1053423210978508","0.1053423210978508","0.1053423210978508","0.0819440558552742","0.0819440558552742","0.0819440558552742","0.1693115234375","0.1693115234375","0.1693115234375"
"15","0.1054033562541008","0.1054033562541008","0.1054033562541008","0.0820050910115242","0.0820050910115242","0.0820050910115242","0.2595127522945404","0.2595127522945404","0.2595127522945404"
"17","0.1054905503988266","0.1054905503988266","0.1054905503988266","0.0820704847574234","0.0820704847574234","0.0820704847574234","0.3311854898929596","0.3311854898929596","0.3311854898929596"
"18","0.1055559441447258","0.1055559441447258","0.1055559441447258","0.08209228515625","0.08209228515625","0.08209228515625","0.3706577718257904","0.3706577718257904","0.3706577718257904"
"19","0.105560302734375","0.105560302734375","0.105560302734375","0.0821184441447258","0.0821184441447258","0.0821184441447258","0.4087873101234436","0.4087873101234436","0.4087873101234436"
