Step,Muon without wd,Muon
1,11.923383712768555,11.923383712768555
5,11.890618324279785,11.890592575073242
6,11.829797744750977,11.829804420471191
10,11.558948516845703,11.558923721313477
12,11.324965476989746,11.32494068145752
15,10.77948284,10.779162406921387
17,10.267849922180176,10.266892433166504
18,9.977336883544922,9.976373672485352
19,9.677989959716797,9.676816940307617
20,9.354257583618164,9.352516174316406
22,8.763714790344238,8.762434959411621
26,7.967400550842285,7.966773986816406
27,7.844285011291504,7.8436784744262695
34,7.640398025512695,7.639121055603027
35,7.552593231201172,7.551487445831299
36,7.461235046386719,7.460357666015625
37,7.426035404205322,7.425157547
40,7.261195659637451,7.2604265213012695
43,7.054519176483154,7.0537919998168945
45,6.929792404174805,6.929241180419922
47,6.836617469787598,6.835967063903809
49,6.714474678039551,6.713614463806152
51,6.6272687911987305,6.626554966
52,6.612527370452881,6.611798286437988
53,6.561556339263916,6.560968876
57,6.392433166503906,6.391736030578613
58,6.382882595062256,6.382318496704102
59,6.357321262359619,6.356671333312988
60,6.3317413330078125,6.331120491027832
63,6.229221343994141,6.228756904602051
64,6.222347259521484,6.221818923950195
67,6.1637468338012695,6.163153648376465
69,6.116734981536865,6.116084575653076
71,6.103034973144531,6.1023664474487305
72,6.087436676025391,6.086960792541504
73,6.051218509674072,6.050700664520264
74,6.061129570007324,6.0606160163879395
75,6.040705680847168,6.040217876434326
77,6.0250139236450195,6.024630546569824
78,5.991987228393555,5.991433620452881
80,5.966781139373779,5.966309547424316
83,5.948762417,5.948761940002441
84,5.928819656,5.928879737854004
88,5.912475586,5.912222862243652
89,5.907062054,5.906886100769043
92,5.8783674240112305,5.876925945281982
94,5.874254227,5.872915744781494
95,5.842252254486084,5.8417558670043945
97,5.841322422027588,5.840672492980957
100,5.826632499694824,5.827425956726074
101,5.809130668640137,5.808996677398682
103,5.794176102,5.793448448181152
106,5.784910678863525,5.783747673034668
108,5.7533087730407715,5.752358436584473
109,5.733712196350098,5.734511375427246
118,5.678711891174316,5.6770195960998535
119,5.698726177215576,5.698005676269531
122,5.674748898,5.675891399383545
124,5.642776966094971,5.656543731689453
126,5.638906478881836,5.626397132873535
128,5.6322431564331055,5.628226280212402
136,5.5708465576171875,5.565896034240723
137,5.578051567077637,5.577511310577393
139,5.536737442016602,5.537878036499023
140,5.553791046142578,5.550261974334717
143,5.509531497955322,5.520838737487793
144,5.5188069343566895,5.516002655029297
146,5.511406898498535,5.495498180389404
147,5.511490821838379,5.502608776092529
149,5.4665985107421875,5.481017589569092
150,5.484819412231445,5.480362892150879
151,5.473904609680176,5.475658416748047
153,5.465579986572266,5.465587139129639
154,5.453913688659668,5.452090263366699
155,5.438948154449463,5.444995880126953
157,5.440105915,5.437618255615234
158,5.422023296356201,5.404602051
160,5.417450904846191,5.4066009521484375
163,5.366179466247559,5.366269111633301
164,5.371674060821533,5.369159698486328
167,5.356001853942871,5.354691505432129
168,5.343254566192627,5.34433651
171,5.317106246948242,5.299556732177734
172,5.308357238769531,5.3051910400390625
173,5.330034255981445,5.307893753051758
174,5.286865234,5.2840375900268555
175,5.2839765548706055,5.280486106872559
176,5.253425598144531,5.253427505493164
178,5.252806663513184,5.237291336
185,5.209823131561279,5.207184791564941
186,5.195631027,5.169576168060303
188,5.160568714141846,5.146893501281738
190,5.152493000030518,5.124346733093262
193,5.135091781616211,5.154525279998779
195,5.106519699,5.086670875549316
197,5.089989662,5.079087257385254
198,5.096209526062012,5.083982467651367
210,5.0046186447143555,4.9678850173950195
212,4.977093696594238,4.9723429679870605
214,4.9749908447265625,4.965747833251953
222,4.888909339904785,4.880941390991211
223,4.841672897338867,4.875972270965576
224,4.871706008911133,4.870582580566406
225,4.877165794372559,4.866823196411133
226,4.857504844665527,4.850022315979004
227,4.859630584716797,4.847344398498535
228,4.848674774169922,4.833350182
230,4.799277305603027,4.7904205322265625
231,4.795795440673828,4.816263198852539
234,4.766230106,4.772684574127197
235,4.763664722442627,4.782015800476074
236,4.7812089920043945,4.764509201049805
241,4.7448272705078125,4.748656272888184
244,4.728288650512695,4.728898525238037
245,4.725028991699219,4.698918819
247,4.6917314529418945,4.678359031677246
248,4.687047004699707,4.695852279663086
250,4.668714523,4.683554172515869
254,4.658566951751709,4.654841423034668
255,4.631093502044678,4.631916046142578
259,4.600481033325195,4.5840630531311035
266,4.576765537261963,4.576148033
268,4.593789577484131,4.561119556427002
270,4.552654266357422,4.544114112854004
273,4.5124359130859375,4.526640892028809
274,4.500868797302246,4.5011444091796875
277,4.498661994934082,4.488684654
278,4.518040180206299,4.5017900466918945
281,4.458880901,4.449225902557373
284,4.456930160522461,4.440066337585449
287,4.421476364135742,4.433454990386963
290,4.4192657470703125,4.388902664
292,4.392697811126709,4.381760120391846
295,4.381928443908691,4.396801948547363
301,4.363681793212891,4.376917839050293
303,4.3404364585876465,4.330876350402832
304,4.336208343505859,4.301664829
305,4.325762748718262,4.320150375366211
306,4.313662052154541,4.288149833679199
309,4.277393817901611,4.281558990478516
310,4.289819717407227,4.2736663818359375
314,4.2357025146484375,4.240773677825928
315,4.247830390930176,4.2400336265563965
317,4.247606277,4.212316513061523
318,4.235037803649902,4.229446887969971
320,4.232893943786621,4.213460922241211
325,4.216405868530273,4.209651470184326
326,4.199411392211914,4.196267604827881
331,4.1741862297058105,4.165366172790527
332,4.1459174156188965,4.155890941619873
336,4.163455963134766,4.153286457061768
337,4.1421332359313965,4.1212639808654785
338,4.121923923492432,4.130056858062744
344,4.090729713439941,4.094408988952637
347,4.099567413330078,4.079370498657227
349,4.10292387,4.104429244995117
351,4.059404373168945,4.069157123565674
353,4.081407070159912,4.062227249145508
356,4.066679000854492,4.051003456115723
361,4.046649932861328,4.049619674682617
362,4.028344631195068,4.023401260375977
365,4.027517795562744,4.039628982543945
367,4.022984504699707,4.035997391
368,4.019449710845947,4.031133651733398
370,4.009610652923584,4.009125709533691
372,4.007768630981445,3.9955241680145264
377,4.005848407745361,4.009751796722412
378,4.001500606536865,3.9882869720458984
382,3.974306822,3.9726316928863525
389,3.9501430988311768,3.9439034461975098
390,3.9613075256347656,3.958831310272217
392,3.9552040100097656,3.958580971
395,3.9197068214416504,3.9319634437561035
397,3.914203167,3.929901361465454
401,3.9131577014923096,3.9036459922790527
405,3.929877996444702,3.9244766235351562
406,3.89758563,3.931795358657837
407,3.92069149,3.914968490600586
410,3.882101058959961,3.888655662536621
414,3.880944252,3.904968023300171
425,3.854577065,3.8526039123535156
426,3.8559060096740723,3.836991548538208
427,3.855689525604248,3.8518452644348145
428,3.8608973026275635,3.8415422439575195
430,3.863978624343872,3.8412559032440186
435,3.821683406829834,3.8407347202301025
441,3.832920789718628,3.842250347137451
442,3.819054365158081,3.8091726303100586
447,3.8030638694763184,3.8148062229156494
451,3.80371356,3.799069404602051
454,3.798628330230713,3.8036913871765137
455,3.7839951515197754,3.7868080139160156
457,3.803684711456299,3.7986879348754883
458,3.7874886989593506,3.7896668910980225
460,3.776197910308838,3.7819743156433105
461,3.781796455383301,3.7910215854644775
462,3.7726337909698486,3.7733795642852783
463,3.7829041481018066,3.789902687072754
465,3.7626116275787354,3.7662744522094727
468,3.769127368927002,3.760911464691162
470,3.755554199,3.7391395568847656
472,3.7305002212524414,3.7325315475463867
475,3.7654671669006348,3.7630727291107178
477,3.7414190769195557,3.7384886741638184
482,3.7222352027893066,3.7427263259887695
483,3.737584352493286,3.7383484840393066
488,3.7164270877838135,3.7141010761260986
489,3.7206931114196777,3.7197885513305664
490,3.712113142,3.7138426303863525
494,3.713685989379883,3.7266006469726562
495,3.700202226638794,3.7180752754211426
496,3.7197041511535645,3.722170352935791
497,3.720569610595703,3.720262289047241
498,3.7208569049835205,3.7179007530212402
499,3.7268738746643066,3.717362642288208
501,3.702622652053833,3.698395013809204
502,3.6957621574401855,3.706322193145752
503,3.7012290954589844,3.7059664726257324
506,3.6930735111236572,3.7013134956359863
511,3.6738691329956055,3.6590466499328613
512,3.675265073776245,3.6789488792419434
513,3.6839258670806885,3.681065797805786
514,3.703275442123413,3.7167160511016846
515,3.6631007194519043,3.667149782180786
517,3.671795129776001,3.677217483520508
519,3.6702916622161865,3.6807682514190674
526,3.6585264205932617,3.667191743850708
527,3.6530776023864746,3.663930892944336
532,3.651775837,3.6488773822784424
534,3.6311371326446533,3.628544330596924
537,3.6272287368774414,3.6359331607818604
542,3.618804454803467,3.62834096
543,3.6379730701446533,3.6336209774017334
545,3.581794023513794,3.5797948837280273
549,3.607846975326538,3.6131134033203125
550,3.6159234046936035,3.6170759201049805
551,3.6165354251861572,3.6292927265167236
552,3.606025218963623,3.6218647956848145
560,3.5805323123931885,3.584459066390991
564,3.586125612258911,3.5984673500061035
565,3.5663933753967285,3.575498580932617
568,3.5559229850769043,3.547774076461792
574,3.5778496265411377,3.579803943634033
575,3.5759615898132324,3.5809335708618164
577,3.5586318969726562,3.5710911750793457
578,3.562791347503662,3.566765546798706
581,3.571432352,3.579403877258301
582,3.5330352783203125,3.5324020385742188
583,3.553325653076172,3.5578932762145996
584,3.5385003089904785,3.5394392013549805
585,3.5621352195739746,3.5661797523498535
586,3.5515735149383545,3.562134265899658
587,3.542637348175049,3.5585787296295166
589,3.5448200702667236,3.5494003295898438
591,3.5305488109588623,3.5368051528930664
592,3.556173801422119,3.563183069229126
593,3.522034168243408,3.5331618785858154
595,3.5377354621887207,3.548274040222168
596,3.5474939346313477,3.558492422103882
597,3.527527332305908,3.532564878463745
598,3.529332160949707,3.527888298034668
599,3.5435266494750977,3.543302297592163
604,3.522144079208374,3.5270721912384033
606,3.521358013153076,3.5265190601348877
608,3.5109126567840576,3.508711576461792
609,3.523667812347412,3.5235891342163086
613,3.5158777236938477,3.516278028488159
614,3.500279426574707,3.5004124641418457
616,3.4926865100860596,3.501243829727173
617,3.524704933166504,3.521271228790283
619,3.5188205242156982,3.5111637115478516
622,3.5013368129730225,3.514895439147949
623,3.504371404647827,3.512117624282837
625,3.501396656036377,3.501063346862793
626,3.498419761657715,3.5017147064208984
628,3.485759735107422,3.487795352935791
632,3.472358465194702,3.4803361892700195
634,3.4806454181671143,3.4816832542419434
635,3.481322765350342,3.4850778579711914
636,3.491325855255127,3.491940498352051
643,3.489503860473633,3.490459442138672
644,3.4541964530944824,3.4598875045776367
645,3.4581804275512695,3.463549852371216
646,3.4568963050842285,3.461421251296997
647,3.4595000743865967,3.465406656265259
648,3.466463327407837,3.467979907989502
649,3.4631428718566895,3.466876745223999
650,3.4615769386291504,3.4666404724121094
651,3.460383653640747,3.469231367111206
652,3.4702398777008057,3.472815752029419
653,3.461320638656616,3.4613633155822754
662,3.4346563816070557,3.4385223388671875
663,3.4449100494384766,3.445061206817627
667,3.4482154846191406,3.450754165649414
668,3.443981170654297,3.4478306770324707
671,3.4415335655212402,3.4441733360290527
675,3.4410135746002197,3.4421238899230957
676,3.419931173324585,3.423074722290039
681,3.4223697185516357,3.4385836124420166
683,3.4150636196136475,3.420266867
686,3.420745611190796,3.421482563018799
691,3.4312589168548584,3.4301795959472656
692,3.4251132011413574,3.4222323894500732
693,3.4206113815307617,3.4204602241516113
695,3.410370349884033,3.4061856269836426
697,3.4197568893432617,3.424617290496826
700,3.4113078117370605,3.4157485961914062
702,3.3976104259490967,3.3993163108825684
703,3.4139325618743896,3.4141786098480225
713,3.386892080307007,3.3880228996276855
715,3.3896870613098145,3.3911213874816895
719,3.4128146171569824,3.411827564239502
720,3.3833508491516113,3.3793842792510986
722,3.3820533752441406,3.387763023376465
724,3.387913703918457,3.3988490104675293
726,3.3892908096313477,3.3945980072021484
727,3.3741073608398438,3.3703935146331787
729,3.368567467,3.368473529815674
731,3.3902416229248047,3.392554998397827
734,3.3843765258789062,3.3873701095581055
745,3.3731043338775635,3.3729100227355957
746,3.373599052429199,3.3712029457092285
752,3.3552792072296143,3.3573129177093506
755,3.372866630554199,3.3714964389801025
758,3.3708255290985107,3.3747706413269043
759,3.371474266052246,3.3721344470977783
760,3.349874496459961,3.3515102863311768
761,3.344822406768799,3.3475613594055176
763,3.3715672492980957,3.3701534271240234
764,3.356691598892212,3.3571062088012695
769,3.3594770431518555,3.3593177795410156
770,3.3519134521484375,3.355152130126953
773,3.361093282699585,3.3643484115600586
774,3.3430559635162354,3.342348575592041
776,3.343057155609131,3.3407959938049316
782,3.321829319000244,3.323080062866211
783,3.3548667430877686,3.354811429977417
789,3.341609001159668,3.341721296310425
790,3.345599651,3.343658208847046
791,3.327974557876587,3.328296422958374
795,3.3159215450286865,3.316460132598877
802,3.327455520629883,3.331507444381714
805,3.3365046977996826,3.3397505283355713
807,3.3284120559692383,3.329875946044922
808,3.319467544555664,3.3224635124206543
813,3.336618423461914,3.3440675735473633
827,3.2964212894439697,3.3020365238189697
828,3.3066179752349854,3.311295747756958
833,3.301015853881836,3.300924777984619
838,3.2953310012817383,3.2980337142944336
839,3.294799327850342,3.297396659851074
840,3.303201198577881,3.306683064
849,3.2871735095977783,3.289140462875366
854,3.2985775470733643,3.2997841835021973
855,3.293642997741699,3.2958452701568604
858,3.276348591,3.276899814605713
862,3.2970175743103027,3.295783281326294
864,3.2745425701141357,3.2761616706848145
868,3.282984733581543,3.285268783569336
871,3.301828384399414,3.3055076599121094
874,3.2807130813598633,3.2822635173797607
876,3.292409658432007,3.2944958209991455
878,3.297896624,3.3020641803741455
879,3.2718770503997803,3.2809901237487793
882,3.270073413848877,3.271090507507324
883,3.288388252258301,3.292154550552368
885,3.2840633392333984,3.285562277
886,3.274536371231079,3.2782626152038574
889,3.280945301055908,3.282632827758789
892,3.2739768028259277,3.272071599960327
896,3.2796502113342285,3.2833871841430664
899,3.265040397644043,3.2649149894714355
901,3.270390272140503,3.270334005355835
904,3.270955801010132,3.2723889350891113
906,3.2553770542144775,3.252322196960449
907,3.270508289337158,3.268073558807373
910,3.2592902183532715,3.2598650455474854
913,3.286795139312744,3.287269115447998
914,3.2707600593566895,3.2682833671569824
917,3.262080669403076,3.263772487640381
920,3.259833574295044,3.262571334838867
921,3.2562050819396973,3.259321689605713
922,3.264406204223633,3.2664334774017334
925,3.257561206817627,3.260554075241089
926,3.2557895183563232,3.2587859630584717
932,3.2497048377990723,3.254354476928711
939,3.241988182067871,3.2436187267303467
940,3.248795271,3.253098487854004
944,3.2380921840667725,3.237729549407959
946,3.2325634956359863,3.235166072845459
947,3.2472493648529053,3.2530465126037598
948,3.2362611293792725,3.242119550704956
949,3.246260166168213,3.253441811
950,3.2314445972442627,3.234907388687134
954,3.2279396057128906,3.230344772338867
955,3.255826473236084,3.256094455718994
956,3.238607645,3.2394309043884277
957,3.2415103912353516,3.240469217300415
959,3.2502553462982178,3.2546069622039795
962,3.235320806503296,3.242882490158081
963,3.2387144565582275,3.2408149242401123
965,3.2238781452178955,3.2243590354919434
972,3.2261757850646973,3.2271947860717773
974,3.2334444522857666,3.2366600036621094
976,3.2211458683013916,3.2249457836151123
978,3.249757766723633,3.2556040287017822
981,3.234595537185669,3.2337424755096436
985,3.219714879989624,3.2270421981811523
989,3.2391510009765625,3.243145704269409
990,3.218735694885254,3.2166531085968018
991,3.232375383377075,3.231118917
994,3.223294258117676,3.223414421081543
997,3.218078374862671,3.219961404800415
998,3.226466178894043,3.226835250854492
999,3.235184669494629,3.2368977069854736
1001,3.224144936,3.2261128425598145
1002,3.211111307144165,3.2129030227661133
1003,3.2193782329559326,3.2218568325042725
1005,3.2093899250030518,3.208315611
1008,3.2218003273010254,3.2226741313934326
1009,3.2128517627716064,3.2145938873291016
1010,3.196052074432373,3.1977813243865967
1011,3.2243940830230713,3.227540969848633
1012,3.2022221088409424,3.2069895267486572
1013,3.1893718242645264,3.1945314407348633
1015,3.2151942253112793,3.2201638221740723
1019,3.2100110054016113,3.2135848999023438
1020,3.2217907905578613,3.2205212116241455
1021,3.1978538036346436,3.200131893157959
1023,3.206965208053589,3.2118663787841797
1025,3.2101123332977295,3.215308666229248
1026,3.2059760093688965,3.211853504180908
1027,3.210930824279785,3.2127532958984375
1028,3.2234158515930176,3.221454381942749
1029,3.1890785694122314,3.189681053161621
1031,3.2036592960357666,3.2056667804718018
1032,3.218975782394409,3.225857734680176
1039,3.187417984008789,3.1896800994873047
1041,3.1986470222473145,3.201421022415161
1042,3.1886558532714844,3.192913532
1043,3.199817657470703,3.2014527320861816
1045,3.191879987716675,3.195521354675293
1049,3.207125663757324,3.2129476070404053
1050,3.1943161487579346,3.201625347137451
1054,3.2101473808288574,3.211019277572632
1055,3.1957578659057617,3.1965487003326416
1056,3.1887121200561523,3.1953420639038086
1057,3.181854248046875,3.187516212463379
1059,3.1937355995178223,3.195833683013916
1061,3.2138590812683105,3.2157959938049316
1062,3.197709798812866,3.200819969177246
1063,3.196873903274536,3.199777364730835
1065,3.2091050148010254,3.2076287269592285
1066,3.205193042755127,3.2022626399993896
1067,3.1869397163391113,3.1864073276519775
1071,3.1902942657470703,3.1924991607666016
1074,3.187699556350708,3.1946640014648438
1075,3.1944563388824463,3.2050299644470215
1079,3.192905902862549,3.1960954666137695
1082,3.1947431564331055,3.1972756385803223
1085,3.197610855102539,3.2021608352661133
1088,3.188671588897705,3.187544345855713
1091,3.1955389976501465,3.1994903087615967
1097,3.1901793479919434,3.1914267539978027
1098,3.1868865489959717,3.1898374557495117
1102,3.194929361343384,3.1986026763916016
1104,3.1828536987304688,3.1854021549224854
1106,3.171718120574951,3.1753809452056885
1108,3.179077386856079,3.1835646629333496
1113,3.1684117317199707,3.1744041442871094
1114,3.159808874130249,3.1661415100097656
1115,3.168721914291382,3.1733407974243164
1117,3.186910390853882,3.1924829483032227
1121,3.175947666168213,3.179859161376953
1125,3.1691055297851562,3.173417329788208
1128,3.1718175411224365,3.1750895977020264
1129,3.1935887336730957,3.1989850997924805
1130,3.175654888153076,3.1808013916015625
1131,3.172748327255249,3.174125909805298
1132,3.168625593185425,3.172048330307007
1133,3.165131092071533,3.167576551437378
1136,3.1664724349975586,3.1700148582458496
1137,3.1803457736968994,3.184453010559082
1138,3.1625237464904785,3.166311502456665
1141,3.1703124046325684,3.1746761798858643
1143,3.159269332885742,3.1652915477752686
1145,3.161747455596924,3.166959762573242
1148,3.1679306030273438,3.174760341644287
1150,3.170696496963501,3.1810097694396973
1154,3.155820131,3.1619112491607666
1155,3.1521997451782227,3.158724069595337
1156,3.1565358638763428,3.1638083457946777
1159,3.1592202186584473,3.162973403930664
1160,3.1629109382629395,3.1692392826080322
1164,3.1654114723205566,3.1678433418273926
1165,3.1512694358825684,3.1553797721862793
1166,3.162365674972534,3.1667513847351074
1168,3.153627634048462,3.155899763
1173,3.1422696113586426,3.1455764770507812
1174,3.1449360847473145,3.151585578918457
1181,3.146545886993408,3.1544127464294434
1183,3.1345458030700684,3.1423397064208984
1187,3.1432011127471924,3.1500751972198486
1192,3.160649538040161,3.166809558868408
1194,3.144139528274536,3.1495444774627686
1199,3.1597042083740234,3.163884162902832
1201,3.1415677070617676,3.1458358764648438
1203,3.1522469520568848,3.1613943576812744
1205,3.1438241004943848,3.146083354949951
1208,3.140197277069092,3.144773006439209
1210,3.155486822128296,3.1588261127471924
1212,3.1315767765045166,3.1373848915100098
1213,3.134629487991333,3.143456459
1217,3.1416776180267334,3.1478233337402344
1219,3.138068199157715,3.1475749015808105
1220,3.1355128288269043,3.1456077098846436
1223,3.1393253803253174,3.1428563594818115
1225,3.135143756866455,3.140204668045044
1226,3.1496877670288086,3.1549882888793945
1229,3.149097442626953,3.154442071914673
1230,3.137312412261963,3.1441476345062256
1231,3.1353750228881836,3.143292188644409
1232,3.144987106323242,3.1517534255981445
1233,3.1276111602783203,3.1345882415771484
1234,3.1298978328704834,3.136805534362793
1235,3.1390063762664795,3.144432783126831
1236,3.1460041999816895,3.150418519973755
1237,3.152029514312744,3.1552634239196777
1239,3.1408705711364746,3.146315574645996
1240,3.119096279144287,3.1260387897491455
1247,3.1257846355438232,3.1285054683685303
1248,3.1247918605804443,3.130028009414673
1252,3.1455180644989014,3.153153419494629
1253,3.124474525,3.1329097747802734
1256,3.141432523727417,3.148252010345459
1259,3.1176252365112305,3.122911214828491
1260,3.1438369750976562,3.150230884552002
