Step,Muon without wd,Spectral Sphere,Muon
372,0.94140625,1.140625,0.81640625
377,1.109375,1.0625,0.921875
378,1.1484375,1.2265625,1.0625
382,1,1.3046875,0.89453125
389,1.046875,1.328125,1.0390625
390,1.109375,1.2109375,0.86328125
392,1.28125,1.21875,1.0234375
395,1.015625,1.1875,0.9453125
397,1.09375,1.15625,0.85546875
401,1.0546875,1.265625,1
405,1.40625,1.265625,1.1796875
406,1.2890625,1.4765625,0.89453125
407,1.296875,1.3125,1.0625
410,1.4765625,1.7578125,1.1484375
414,1.3671875,1.7109375,1.1328125
425,1.6015625,1.7109375,1.015625
426,1.796875,1.4765625,1.3359375
427,1.46875,1.7421875,1.0390625
428,1.6171875,1.5546875,1.2890625
430,1.484375,1.53125,1.0234375
435,2.265625,2.375,1.59375
441,1.671875,1.984375,1.171875
442,1.640625,1.6640625,1.359375
447,1.9453125,2.28125,1.515625
451,1.8984375,1.9453125,1.4453125
454,1.6640625,1.984375,1.3359375
455,1.640625,1.640625,1.4140625
457,1.84375,1.9296875,1.4609375
458,2.171875,1.9453125,1.734375
460,1.890625,1.8203125,1.3984375
461,1.765625,1.828125,1.3984375
462,2.265625,1.890625,1.71875
463,2.09375,2.046875,1.5
465,2.0625,2.0625,1.5
468,2.390625,2.625,1.9765625
470,2.046875,1.9921875,1.46875
472,2.1875,2.765625,1.796875
475,2.078125,2.421875,1.59375
477,2.265625,2.75,1.71875
482,2.546875,2.53125,2.03125
483,2.53125,2.828125,1.734375
488,2.21875,2.1875,1.640625
489,2.203125,2.203125,1.7734375
490,2.25,2.953125,1.6875
494,2.578125,2.125,1.9296875
495,2.53125,2.65625,1.890625
496,2.546875,2.546875,2.0625
497,2.609375,2.4375,1.859375
498,2.5,2.421875,1.65625
499,2.59375,2.609375,2.15625
501,2.921875,3,2.1875
502,2.484375,3,2
503,2.609375,2.890625,1.9453125
506,2.46875,3,2.03125
511,2.671875,2.984375,2.015625
512,2.65625,2.8125,2.15625
513,2.703125,2.375,1.765625
514,2.765625,2.875,2.109375
515,2.859375,3.25,2.359375
517,3.171875,2.96875,2.609375
519,2.78125,2.75,2.15625
526,2.734375,2.59375,2.140625
527,3.375,3.28125,2.328125
532,2.921875,3,2
534,2.828125,2.71875,2.09375
537,3.40625,2.9375,2.453125
542,3.15625,3.890625,2.5
543,3.609375,3.21875,2.546875
545,3.40625,3.59375,2.328125
549,3.09375,3.046875,2.5
550,3.3125,2.78125,2.28125
551,3.25,3.03125,2.421875
552,3.796875,4.03125,2.84375
560,3.6875,3.28125,2.671875
564,3.3125,3.78125,2.484375
565,3.140625,3.484375,2.40625
568,3.125,2.828125,2.546875
574,3.59375,3.40625,2.625
575,3.328125,3.375,2.59375
577,3.671875,3.703125,2.65625
578,3.5625,3.03125,2.609375
581,3.65625,3.65625,2.65625
582,3.71875,3.328125,2.515625
583,3.953125,4.0625,2.90625
584,3.4375,3.578125,2.640625
585,3.890625,4.125,2.8125
586,3.71875,4.0625,2.734375
587,3.609375,3.609375,2.78125
589,3.5625,4.0625,2.6875
591,3.609375,3.796875,2.75
592,3.859375,4.46875,2.890625
593,3.96875,4.15625,2.875
595,4.21875,4,3.171875
596,4.125,4.28125,2.96875
597,3.703125,3.296875,2.734375
598,3.734375,4.09375,2.78125
599,3.875,3.734375,2.96875
604,4.125,3.90625,2.90625
606,3.828125,4.125,2.796875
608,3.921875,4.53125,2.953125
609,4.03125,3.734375,3.015625
613,4.03125,4.1875,2.875
614,3.71875,3.609375,2.90625
616,4,3.984375,3.0625
617,4.09375,3.75,2.96875
619,4.15625,3.578125,2.984375
622,4.15625,3.828125,3.0625
623,3.984375,3.578125,3
625,3.890625,4.1875,3.0625
626,4.125,4.21875,3.078125
628,4.34375,4.1875,3.171875
632,4.125,4.25,3.15625
634,4.09375,3.71875,2.96875
635,4.3125,3.703125,3.171875
636,3.953125,3.703125,2.90625
643,4.90625,4,3.484375
644,4.3125,3.453125,2.859375
645,4.375,3.46875,3.15625
646,4.53125,4.34375,3.171875
647,4.5625,3.703125,3.359375
648,4.46875,4.09375,3.0625
649,4.8125,4.5,3.359375
650,4.40625,3.671875,3.078125
651,4.5,3.78125,3.078125
652,4.375,4.0625,3.15625
653,4.90625,4.875,3.34375
662,4.6875,4.125,3.21875
663,4.6875,4.15625,3.453125
667,4.6875,4.59375,3.1875
668,4.53125,4.3125,3.21875
671,4.625,4.09375,3.265625
675,4.40625,4.15625,3.0625
676,4.90625,4.59375,3.25
681,4.71875,3.828125,3.328125
683,4.84375,4.78125,3.28125
686,4.75,3.984375,3.375
691,4.75,4.40625,3.15625
692,4.625,4.15625,3.390625
693,5,5,3.390625
695,4.90625,4.96875,3.296875
697,4.90625,4.78125,3.21875
700,4.8125,5,3.421875
702,4.90625,5.1875,3.390625
703,5,4.15625,3.375
713,4.9375,3.96875,3.390625
715,5.125,4.34375,3.578125
719,5.21875,4.1875,3.359375
720,5.28125,4.90625,3.671875
722,5.375,4.375,3.40625
724,5.21875,4.53125,3.484375
726,5.4375,5.1875,3.59375
727,5.34375,3.90625,3.3125
729,5.40625,5.59375,3.546875
731,5.625,4.96875,3.875
734,5.6875,4.8125,3.5
745,5.71875,5.0625,3.703125
746,5.5625,4.375,3.46875
752,5.78125,4.53125,3.390625
755,5.75,4.34375,3.671875
758,5.625,4.625,3.578125
759,5.90625,5.25,3.796875
760,5.78125,5.375,3.75
761,5.71875,4.90625,3.609375
763,6.03125,4.03125,3.625
764,5.78125,5.28125,3.953125
769,5.84375,4.96875,3.6875
770,6.3125,5.4375,3.953125
773,5.9375,4.6875,3.78125
774,5.46875,4.3125,3.46875
776,5.75,4.65625,3.640625
782,6.59375,4.71875,3.859375
783,6.8125,5.03125,4
789,6.90625,4.90625,3.9375
790,6.625,5,4.0625
791,6.78125,5.34375,3.921875
795,6.46875,5.0625,4
802,6.6875,5.125,4.125
805,6.71875,5.15625,4.3125
807,6.6875,5.15625,4.03125
808,6.65625,5.15625,4.15625
813,6.28125,4.84375,4
827,6.53125,4.71875,3.9375
828,6.625,4.5625,4.09375
833,6.65625,4.875,3.859375
838,6.46875,4.25,3.921875
839,6.625,4.65625,3.9375
840,6.5625,5.15625,4.0625
849,6.84375,4.71875,3.96875
854,6.65625,4.4375,4.03125
855,6.875,4.65625,3.921875
858,6.46875,4.90625,3.828125
862,6.75,5.4375,4.0625
864,6.53125,4.78125,4.0625
868,6.96875,5.28125,4.375
871,6.8125,5.15625,4.1875
874,6.8125,5.625,4.25
876,6.75,5.5,4.28125
878,6.90625,4.90625,3.84375
879,7.125,5.03125,4.0625
882,7.0625,4.96875,4.15625
883,6.71875,4.4375,3.984375
885,7.40625,4.6875,4.1875
886,6.90625,4.5625,4.03125
889,7.09375,4.75,4.0625
892,7.03125,4.34375,4.03125
896,7.0625,4.5625,4.09375
899,7.125,4.4375,3.984375
901,7.375,5.1875,4.1875
904,7.25,4.65625,4.3125
906,7.40625,4.4375,4.3125
907,7.5,4.53125,4.21875
910,7.4375,4.5,4.15625
913,7.75,4.84375,4.125
914,7.4375,4.28125,4.28125
917,7.9375,4.625,4.34375
920,7.5,4.84375,4.34375
921,7.6875,4.59375,4.21875
922,7.625,5.03125,4.25
925,7.4375,4.90625,4.125
926,7.4375,4.25,4.21875
932,7.5625,5.125,4.125
939,7.8125,4.9375,4.15625
940,8.25,5,4.5625
944,7.46875,5.21875,4.28125
946,7.8125,5.125,4.375
947,7.625,4.8125,4.1875
948,7.34375,5.09375,4.0625
949,7.59375,4.34375,4.1875
950,7.53125,5.1875,4.28125
954,7.6875,5.03125,4.15625
955,7.9375,4.78125,4.34375
956,8.0625,5.5,4.53125
957,7.71875,5.21875,4.40625
959,7.5,4.625,4.09375
962,8.125,4.5,4.4375
963,8,4.65625,4.125
965,7.875,5.125,4.28125
972,8.0625,4.625,4.25
974,8.5625,4.78125,4.40625
976,8.4375,5.34375,4.5625
978,8.375,4.9375,4.375
981,8.375,4.75,4.34375
985,8.0625,5.46875,4.03125
989,8.3125,4.625,4.375
990,8.5,4.96875,4.3125
991,8.125,5.6875,4.40625
994,8.25,4.8125,4.59375
997,8.25,5.65625,4.53125
998,8.25,5.3125,4.4375
999,8.25,4.9375,4.34375
1001,8.625,5.875,4.625
1002,8.375,4.78125,4.46875
1003,8.375,4.5,4.40625
1005,8.3125,4.4375,4.25
1008,8.1875,4.59375,4.25
1009,8.375,4.78125,4.375
1010,8.3125,4.5625,4.375
1011,8.375,4.6875,4.28125
1012,8.375,4.8125,4.4375
1013,8.5,4.84375,4.25
1015,8.25,4.90625,4.375
1019,8.4375,5.15625,4.3125
1020,8.5,5.8125,4.46875
1021,8.25,4.8125,4.25
1023,8.1875,4.96875,4.125
1025,8.4375,5.03125,4.28125
1026,8.5,4.78125,4.40625
1027,8.5,5.4375,4.59375
1028,8.625,5.4375,4.625
1029,8.5,4.71875,4.4375
1031,8.1875,4.5,4.25
1032,8.9375,5.125,4.59375
1039,8.75,4.84375,4.53125
1041,8.625,4.875,4.3125
1042,8.8125,5.34375,4.4375
1043,8.4375,4.84375,4.375
1045,8.4375,5.78125,4.59375
1049,8.9375,5.34375,4.6875
1050,8.6875,4.9375,4.3125
1054,8.9375,4.90625,4.5625
1055,8.875,4.6875,4.3125
1056,9,5.03125,4.5
1057,8.875,5.09375,4.46875
1059,9.1875,5.375,4.25
1061,9,5.0625,4.4375
1062,8.875,5.40625,4.71875
1063,9.125,5.0625,4.34375
1065,9.1875,4.84375,4.3125
1066,8.8125,5.34375,4.40625
1067,9.125,4.65625,4.25
1071,8.875,4.75,4.28125
1074,9.1875,5,4.46875
1075,9.1875,5.375,4.5
1079,9,4.875,4.5
1082,9.125,5.0625,4.5625
1085,9.375,5.125,4.40625
1088,8.875,5.3125,4.375
1091,9.3125,5.09375,4.96875
1097,8.9375,4.90625,4.75
1098,8.9375,4.59375,4.5625
1102,9.1875,5.15625,4.625
1104,9,4.65625,4.65625
1106,9,4.78125,4.71875
1108,8.9375,5,4.46875
1113,9,4.96875,4.375
1114,9.1875,4.78125,4.59375
1115,9.1875,4.6875,4.59375
1117,9.3125,5.03125,4.65625
1121,9.125,5.46875,4.71875
1125,9.4375,4.71875,4.5625
1128,9.0625,4.53125,4.34375
1129,9.4375,4.65625,4.59375
1130,9.1875,4.65625,4.46875
1131,9.75,4.6875,4.875
1132,9.4375,4.71875,4.34375
1133,9.75,4.9375,4.6875
1136,9.6875,4.65625,4.3125
1137,9.6875,4.9375,4.75
1138,9.6875,5.53125,4.625
1141,9.5,4.8125,4.75
1143,9.375,4.75,4.4375
1145,9.8125,4.8125,4.75
1148,9.4375,4.84375,4.6875
1150,9.5625,4.8125,4.75
1154,9.625,5.3125,4.75
1155,9.75,5.0625,4.4375
1156,9.625,5.5,4.8125
1159,9.875,5.0625,4.75
1160,9.8125,4.96875,4.53125
1164,9.4375,5.53125,4.59375
1165,10.0625,4.90625,4.625
1166,9.4375,5.0625,4.5
1168,9.75,4.6875,4.8125
1173,9.4375,4.8125,4.53125
1174,9.75,5.0625,4.84375
1181,9.875,5.09375,4.40625
1183,9.875,4.96875,4.8125
1187,9.9375,5.125,4.78125
1192,9.9375,4.53125,4.34375
1194,10,4.90625,4.53125
1199,10.0625,4.78125,4.9375
1201,9.8125,4.53125,4.5625
1203,10,4.875,4.40625
1205,10.3125,5.25,4.625
1208,10.0625,5.125,4.84375
1210,10.1875,4.90625,4.78125
1212,10,4.75,4.5625
1213,10.625,4.8125,4.875
