Step,radius1,radius0.1,radius2,radius10,radius0.5
1,0.081952773,0.081952773,0.081952773,0.081952773,0.081952773
2,0.1103646382689476,9.75813E-05,0.9891880750656128,137.6607208251953,0.012737818993628025
4,0.1103384867310524,9.75898E-05,0.9892926812171936,137.63392639160156,0.012736729346215725
5,0.1103079691529274,9.756E-05,0.9891880750656128,137.60714721679688,0.012739454
6,0.1103341206908226,9.75728E-05,0.9889439344406128,137.63392639160156,0.012730189599096775
8,0.1103472039103508,9.75771E-05,0.9893624186515808,137.625,0.012737274169921875
9,0.11038208,9.75728E-05,0.9897809624671936,137.74107360839844,0.012736729346215725
10,0.1103646382689476,9.75771E-05,0.9903041124343872,137.7857208251953,0.012742723
11,0.1103951558470726,9.75856E-05,0.9914202094078064,138.07142639160156,0.012747084
12,0.1104518324136734,9.75771E-05,0.9922921061515808,138.19642639160156,0.012748173
13,0.1104997918009758,9.75856E-05,0.9935477375984192,138.5267791748047,0.012747629
15,0.1106436625123024,9.75898E-05,0.9967564344406128,138.99107360839844,0.012769972
16,0.110473633,9.75728E-05,0.9971051812171936,139.0982208251953,0.012760707177221775
17,0.1104343980550766,9.75643E-05,0.997314453,139.16964721679688,0.012765612
18,0.1104910746216774,9.75345E-05,0.9998255968093872,139.54464721679688,0.012757437
19,0.1105739027261734,9.75345E-05,1.0014299154281616,139.85714721679688,0.012768881395459175
20,0.1106654554605484,9.75175E-05,1.0042550563812256,140.38392639160156,0.012769426219165325
21,0.1107918843626976,9.75089E-05,1.0069754123687744,140.7232208251953,0.012776510789990425
22,0.1109837144613266,9.7543E-05,1.0107072591781616,141.16964721679688,0.012782505713403225
23,0.1111842542886734,9.75898E-05,1.0155900716781616,141.66964721679688,0.012795039
24,0.111297607,9.76239E-05,1.0185197591781616,141.9642791748047,0.01279395
26,0.1115809828042984,9.7709E-05,1.0240304470062256,142.5357208251953,0.012837001122534275
27,0.1116812601685524,9.77474E-05,1.0252162218093872,142.6517791748047,0.012847356
28,0.1118382066488266,9.77814E-05,1.028564453,142.7767791748047,0.012859889306128025
29,0.111938477,9.77772E-05,1.0301339626312256,142.86607360839844,0.012865339405834675
30,0.1120082288980484,9.77985E-05,1.0293318033218384,142.5982208251953,0.012878418
31,0.1121564581990242,9.78197E-05,1.029052734,142.74107360839844,0.012886592
32,0.1122610941529274,9.7841E-05,1.0268205404281616,142.54464721679688,0.012907301
33,0.1124005988240242,9.78623E-05,1.026123047,142.4642791748047,0.012924739
