Step,radius1,radius0.1,radius2,radius10,radius0.5
131,1.109375,0.000640869,7.96875,1104,0.109375
132,1.1015625,0.000640869,8.1875,1096,0.110839844
134,1.140625,0.000656128,8.3125,1120,0.114746094
135,1.078125,0.000667572,8.1875,1120,0.114257813
136,1.171875,0.000663757,8.25,1136,0.118164063
137,1.1328125,0.000663757,7.96875,1128,0.114746094
138,1.1484375,0.000659943,9.375,1168,0.1171875
139,1.1640625,0.000675201,8.25,1160,0.1171875
140,1.1484375,0.00069046,8.3125,1152,0.1171875
142,1.1796875,0.000682831,8.4375,1176,0.120117188
143,1.15625,0.000671387,8.3125,1264,0.119628906
144,1.1796875,0.000682831,8.0625,1120,0.12109375
146,1.1484375,0.00069809,8.5,1192,0.12109375
147,1.1640625,0.000694275,8.3125,1136,0.120117188
149,1.1484375,0.000709534,8.25,1256,0.12890625
150,1.1875,0.00069046,8.1875,1184,0.125976563
151,1.1796875,0.00069809,8.375,1176,0.126953125
153,1.1796875,0.000701904,8.3125,1128,0.130859375
154,1.265625,0.000705719,8.375,1160,0.129882813
155,1.2109375,0.000717163,9.0625,1176,0.130859375
156,1.2265625,0.000705719,8.25,1152,0.133789063
157,1.2265625,0.000709534,8.6875,1184,0.129882813
158,1.2265625,0.000751495,8.6875,1208,0.1328125
159,1.265625,0.000736237,8.6875,1184,0.1328125
160,1.265625,0.000740051,8.875,1192,0.135742188
161,1.2578125,0.000793457,9,1208,0.134765625
163,1.2734375,0.000770569,9.8125,1208,0.134765625
164,1.265625,0.000797272,9.6875,1248,0.137695313
165,1.28125,0.000823975,10.0625,1224,0.13671875
167,1.3125,0.00082016,9.875,1232,0.137695313
168,1.3125,0.000858307,10.8125,1240,0.139648438
169,1.3515625,0.000846863,10.375,1208,0.141601563
170,1.3515625,0.000892639,10.875,1208,0.140625
171,1.328125,0.00087738,10.8125,1272,0.14453125
172,1.3359375,0.000904083,10.9375,1288,0.142578125
173,1.34375,0.000900269,11.625,1272,0.142578125
174,1.3828125,0.000938416,10.9375,1248,0.145507813
175,1.3671875,0.000926971,11.1875,1272,0.145507813
176,1.3828125,0.000930786,11,1264,0.146484375
177,1.359375,0.000934601,11.5625,1264,0.145507813
178,1.4140625,0.000953674,11.5625,1320,0.1484375
179,1.3359375,0.000965118,11.3125,1312,0.1484375
182,1.4375,0.000999451,12.4375,1376,0.153320313
183,1.4921875,0.001029968,12.3125,1376,0.153320313
184,1.4921875,0.001060486,12.5625,1328,0.159179688
185,1.4921875,0.001037598,12.5625,1360,0.153320313
186,1.453125,0.001106262,13.375,1376,0.169921875
188,1.4921875,0.001121521,13.125,1376,0.173828125
190,1.5390625,0.001121521,13.25,1456,0.176757813
192,1.5859375,0.001174927,13.5,1496,0.18359375
193,1.5859375,0.001144409,14.625,1496,0.197265625
194,1.7109375,0.001228333,14.75,1560,0.1953125
195,1.671875,0.001190186,13.9375,1640,0.19921875
196,1.8046875,0.001190186,14.875,1576,0.204101563
197,1.734375,0.001235962,14.8125,1584,0.205078125
198,1.8046875,0.001213074,14.6875,1600,0.217773438
199,1.796875,0.001243591,15.1875,1624,0.216796875
200,1.765625,0.001266479,15.4375,1720,0.225585938
202,1.8359375,0.001335144,15.8125,1704,0.233398438
203,1.8984375,0.001327515,15.9375,1776,0.237304688
204,2.015625,0.00138855,16.25,1752,0.241210938
205,1.9921875,0.001426697,16.375,1744,0.243164063
206,2.03125,0.001396179,16.5,1872,0.259765625
208,2.03125,0.001480103,16.875,1880,0.26171875
209,2.046875,0.001449585,16.875,1920,0.27734375
210,2.25,0.001495361,17.75,1976,0.28515625
212,2.28125,0.001495361,17.75,2048,0.29296875
213,2.296875,0.001647949,18,2128,0.298828125
214,2.34375,0.001571655,18.75,2144,0.30078125
215,2.375,0.001625061,19,2192,0.31640625
217,2.5,0.001754761,19.5,2240,0.32421875
218,2.46875,0.001747131,20.25,2256,0.326171875
220,2.609375,0.001800537,20.375,2304,0.349609375
221,2.609375,0.001930237,21.375,2320,0.3515625
222,2.78125,0.001869202,21.5,2320,0.365234375
223,2.875,0.001968384,21.5,2384,0.369140625
224,2.875,0.00213623,22.125,2400,0.380859375
225,2.953125,0.001983643,22.375,2464,0.392578125
226,3.078125,0.002288818,22.25,2512,0.400390625
227,3.109375,0.002120972,22.875,2576,0.40625
228,3.109375,0.002075195,23.125,2592,0.416015625
229,3.28125,0.002441406,23,2640,0.416015625
230,3.15625,0.002212524,24,2736,0.435546875
