Step,radius 2,radius 0.5,radius 0.1,radiu 0.01,radius 1
1,11.923383712768555,11.923383712768555,11.923383712768555,11.923383712768555,11.923383712768555
5,11.866985321044922,11.866982460021973,11.888124465942383,11.885628700256348,11.877049446105957
6,11.791196823120117,11.791210174560547,11.855128288269043,11.852048873901367,11.821207046508789
10,11.405073165893555,11.405070304870605,11.69509506225586,11.687878608703613,11.565460205078125
12,11.09773063659668,11.097743034362793,11.579621315002441,11.573905944824219,11.371501922607422
15,10.450665473937988,10.450674057006836,11.353829383850098,11.346294403076172,10.954133033752441
17,9.892807006835938,9.892852783203125,11.17110538482666,11.162774085998535,10.572402000427246
18,9.593921661376953,9.593923568725586,11.074902534484863,11.06766128540039,10.34387207
19,9.293536186218262,9.293547630310059,10.973891258239746,10.967827796936035,10.103294372558594
20,8.993569374084473,8.993525505065918,10.855308532714844,10.845634460449219,9.815574645996094
22,8.471857070922852,8.471866607666016,10.619708061218262,10.609200477600098,9.241326332092285
26,7.883438587188721,7.883417606,10.096175193786621,10.073954582214355,8.182109832763672
27,7.795944690704346,7.795949935913086,9.942599296569824,9.913885116577148,7.954428672790527
34,7.601187705993652,7.601169109344482,8.941129684448242,8.860298156738281,7.550777435302734
35,7.534454345703125,7.534465789794922,8.782936096191406,8.693497657775879,7.483659744262695
36,7.469279766082764,7.4692769050598145,8.616221428,8.519318580627441,7.380611419677734
37,7.445795059204102,7.445772171020508,8.487376213,8.384947776794434,7.316956996917725
40,7.2984724044799805,7.298478126525879,8.080900192260742,7.975734710693359,7.126370906829834
43,7.102992057800293,7.103003025054932,7.680022239685059,7.570135116577148,6.921736240386963
45,6.974440574645996,6.974465847015381,7.440616607666016,7.322935104370117,6.802066326141357
47,6.873006820678711,6.872626304626465,7.240130901,7.12837553,6.719974517822266
49,6.755776882171631,6.755120277404785,7.006570339202881,6.918731689453125,6.608044624328613
51,6.664739132,6.664027214050293,6.839053630828857,6.788628578186035,6.5327911376953125
52,6.645879745483398,6.645223617553711,6.784872055053711,6.753535747528076,6.521915912628174
53,6.595378875732422,6.594858169555664,6.710640907287598,6.697828769683838,6.474803924560547
57,6.417630672454834,6.417168617248535,6.479069709777832,6.513507843017578,6.322371482849121
58,6.406293869018555,6.405666828155518,6.447243690490723,6.488323689,6.313827037811279
59,6.379730224609375,6.379537582397461,6.4146595,6.466135025024414,6.294177532196045
60,6.352944850921631,6.352784633636475,6.378050804138184,6.440492630004883,6.2693071365356445
63,6.245100975036621,6.245329856872559,6.261800765991211,6.337294578552246,6.179239749908447
64,6.237821578979492,6.238091468811035,6.249476909637451,6.324432373046875,6.171175003051758
67,6.167953014373779,6.168287277,6.194498062133789,6.266179084777832,6.125000476837158
69,6.115795135498047,6.116056442260742,6.148621559143066,6.220149517059326,6.0823211669921875
71,6.0971760749816895,6.097325801849365,6.130194187164307,6.201939582824707,6.071225643157959
72,6.083806037902832,6.084082603,6.109596252441406,6.178834438323975,6.052887916564941
73,6.047195911407471,6.047408103942871,6.088661193847656,6.155653,6.023100852966309
